,No,Branch_Code,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed
580,476,476_0,Probopass,Probopass,4,1.4,340.0,Rock,Steel,Sturdy,Magnet Pull,Sand Force,Gray,50.0,50.0,0,20,Mineral,,60,184,1000000,Ordinary,,,60,55,145,75,150,40,525,0,0,1,0,2,0
581,477,477_0,Dusknoir,Dusknoir,4,2.2,106.6,Ghost,,Pressure,,Frisk,Black,50.0,50.0,0,25,Amorphous,,45,263,800000,Ordinary,,,45,100,135,65,135,45,525,0,0,1,0,2,0
582,478,478_0,Froslass,Froslass,4,1.3,26.6,Ice,Ghost,Snow Cloak,,Cursed Body,White,0.0,100.0,0,20,Fairy,Mineral,75,168,1000000,Ordinary,,,70,80,70,80,70,110,480,0,0,0,0,0,2
583,479,479_0,Rotom,Rotom,4,0.3,0.3,Electric,Ghost,Levitate,,,Red,0.0,0.0,100,20,Amorphous,,45,154,1000000,Ordinary,,,50,50,77,95,77,91,440,0,0,0,1,0,1
584,479,479_1,Rotom,Heat Rotom,4,0.3,0.3,Electric,Fire,Levitate,,,Red,0.0,0.0,100,20,Amorphous,,45,182,1000000,Ordinary,,,50,65,107,105,107,86,520,0,0,0,1,0,1
585,479,479_2,Rotom,Wash Rotom,4,0.3,0.3,Electric,Water,Levitate,,,Red,0.0,0.0,100,20,Amorphous,,45,182,1000000,Ordinary,,,50,65,107,105,107,86,520,0,0,0,1,0,1
586,479,479_3,Rotom,Frost Rotom,4,0.3,0.3,Electric,Ice,Levitate,,,Red,0.0,0.0,100,20,Amorphous,,45,182,1000000,Ordinary,,,50,65,107,105,107,86,520,0,0,0,1,0,1
587,479,479_4,Rotom,Fan Rotom,4,0.3,0.3,Electric,Flying,Levitate,,,Red,0.0,0.0,100,20,Amorphous,,45,182,1000000,Ordinary,,,50,65,107,105,107,86,520,0,0,0,1,0,1
588,479,479_5,Rotom,Mow Rotom,4,0.3,0.3,Electric,Grass,Levitate,,,Red,0.0,0.0,100,20,Amorphous,,45,182,1000000,Ordinary,,,50,65,107,105,107,86,520,0,0,0,1,0,1
589,480,480_0,Uxie,Uxie,4,0.3,0.3,Psychic,,Levitate,,,Yellow,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,,,75,75,130,75,130,95,580,0,0,2,0,1,0
590,481,481_0,Mesprit,Mesprit,4,0.3,0.3,Psychic,,Levitate,,,Pink,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,,,80,105,105,105,105,80,580,0,1,0,1,1,0
591,482,482_0,Azelf,Azelf,4,0.3,0.3,Psychic,,Levitate,,,Blue,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,,,75,125,70,125,70,115,580,0,2,0,1,0,0
592,483,483_0,Dialga,Dialga,4,5.4,683.0,Steel,Dragon,Pressure,,Telepathy,White,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,,,100,120,120,150,100,90,680,0,0,0,3,0,0
593,483,483_1,Dialga,Dialga Origin Form,4,7.0,850.0,Steel,Dragon,Pressure,,Telepathy,White,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,,,100,100,120,150,120,90,680,0,0,0,3,0,0
594,484,484_0,Palkia,Palkia,4,4.2,336.0,Water,Dragon,Pressure,,Telepathy,Purple,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,,,90,120,100,150,120,100,680,0,0,0,3,0,0
595,484,484_1,Palkia,Palkia Origin Form,4,6.3,660.0,Water,Dragon,Pressure,,Telepathy,Purple,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,,,90,100,100,150,120,120,680,0,0,0,3,0,0
596,485,485_0,Heatran,Heatran,4,1.7,430.0,Fire,Steel,Flash Fire,,Flame Body,Brown,50.0,50.0,0,10,Undiscovered,,3,300,1250000,Semi-Legendary,,,91,90,106,130,106,77,600,0,0,0,3,0,0
597,486,486_0,Regigigas,Regigigas,4,3.7,420.0,Normal,,Slow Start,,,White,0.0,0.0,100,120,Undiscovered,,3,335,1250000,Semi-Legendary,,,110,160,110,80,110,100,670,0,3,0,0,0,0
598,487,487_0,Giratina,Giratina,4,4.5,750.0,Ghost,Dragon,Pressure,,Telepathy,Black,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,,,150,100,120,100,120,90,680,3,0,0,0,0,0
599,487,487_1,Giratina,Giratina Origin Form,4,6.9,650.0,Ghost,Dragon,Levitate,,,Black,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,,,150,120,100,120,100,90,680,3,0,0,0,0,0
600,488,488_0,Cresselia,Cresselia,4,1.5,85.6,Psychic,,Levitate,,,Yellow,0.0,100.0,0,120,Undiscovered,,3,290,1250000,Semi-Legendary,,,120,70,110,75,120,85,580,0,0,0,0,3,0
601,489,489_0,Phione,Phione,4,0.4,3.1,Water,,Hydration,,,Blue,0.0,0.0,100,40,Water1,Fairy,30,216,1250000,Mythical,,,80,80,80,80,80,80,480,1,0,0,0,0,0
602,490,490_0,Manaphy,Manaphy,4,0.3,1.4,Water,,Hydration,,,Blue,0.0,0.0,100,10,Water1,Fairy,3,270,1250000,Mythical,,,100,100,100,100,100,100,600,3,0,0,0,0,0
603,491,491_0,Darkrai,Darkrai,4,1.5,50.5,Dark,,Bad Dreams,,,Black,0.0,0.0,100,120,Undiscovered,,3,270,1250000,Mythical,,,70,90,90,135,90,125,600,0,0,0,2,0,1
604,492,492_0,Shaymin,Shaymin Land Form,4,0.2,2.1,Grass,,Natural Cure,,,Green,0.0,0.0,100,120,Undiscovered,,45,270,1059860,Mythical,,,100,100,100,100,100,100,600,3,0,0,0,0,0
605,492,492_1,Shaymin,Shaymin Sky Form,4,0.4,5.2,Grass,Flying,Serene Grace,,,Green,0.0,0.0,100,120,Undiscovered,,45,270,1059860,Mythical,,,100,103,75,120,75,127,600,0,0,0,0,0,3
606,493,493_0,Arceus,Arceus,4,3.2,320.0,Normal,,Multitype,,,White,0.0,0.0,100,120,Undiscovered,,3,360,1250000,Mythical,,,120,120,120,120,120,120,720,3,0,0,0,0,0
607,494,494_0,Victini,Victini,5,0.4,4.0,Psychic,Fire,Victory Star,,,Yellow,0.0,0.0,100,120,Undiscovered,,3,300,1250000,Mythical,,,100,100,100,100,100,100,600,3,0,0,0,0,0
608,495,495_0,Snivy,Snivy,5,0.6,8.1,Grass,,Overgrow,,Contrary,Green,87.5,12.5,0,20,Ground,Grass,45,62,1059860,Ordinary,,,45,45,55,45,55,63,308,0,0,0,0,0,1
609,496,496_0,Servine,Servine,5,0.8,16.0,Grass,,Overgrow,,Contrary,Green,87.5,12.5,0,20,Ground,Grass,45,145,1059860,Ordinary,,,60,60,75,60,75,83,413,0,0,0,0,0,2
610,497,497_0,Serperior,Serperior,5,3.3,63.0,Grass,,Overgrow,,Contrary,Green,87.5,12.5,0,20,Ground,Grass,45,238,1059860,Ordinary,,,75,75,95,75,95,113,528,0,0,0,0,0,3
611,498,498_0,Tepig,Tepig,5,0.5,9.9,Fire,,Blaze,,Thick Fat,Red,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,,,65,63,45,45,45,45,308,1,0,0,0,0,0
612,499,499_0,Pignite,Pignite,5,1.0,55.5,Fire,Fighting,Blaze,,Thick Fat,Red,87.5,12.5,0,20,Ground,,45,146,1059860,Ordinary,,,90,93,55,70,55,55,418,0,2,0,0,0,0
613,500,500_0,Emboar,Emboar,5,1.6,150.0,Fire,Fighting,Blaze,,Reckless,Red,87.5,12.5,0,20,Ground,,45,238,1059860,Ordinary,,,110,123,65,100,65,65,528,0,3,0,0,0,0
614,501,501_0,Oshawott,Oshawott,5,0.5,5.9,Water,,Torrent,,Shell Armor,Blue,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,,,55,55,45,63,45,45,308,0,0,0,1,0,0
615,502,502_0,Dewott,Dewott,5,0.8,24.5,Water,,Torrent,,Shell Armor,Blue,87.5,12.5,0,20,Ground,,45,145,1059860,Ordinary,,,75,75,60,83,60,60,413,0,0,0,2,0,0
616,503,503_0,Samurott,Samurott,5,1.5,94.6,Water,,Torrent,,Shell Armor,Blue,87.5,12.5,0,20,Ground,,45,264,1059860,Ordinary,,,95,100,85,108,70,70,528,0,0,0,3,0,0
617,503,503_1,Samurott,Hisuian Samurott,8,1.5,58.2,Water,Dark,Torrent,,Sharpness,Blue,87.5,12.5,0,20,Ground,,45,264,1059860,Ordinary,,Hisuian,90,108,80,100,65,85,528,0,3,0,0,0,0
618,504,504_0,Patrat,Patrat,5,0.5,11.6,Normal,,Run Away,Keen Eye,Analytic,Brown,50.0,50.0,0,15,Ground,,255,51,1000000,Ordinary,,,45,55,39,35,39,42,255,0,1,0,0,0,0
619,505,505_0,Watchog,Watchog,5,1.1,27.0,Normal,,Illuminate,Keen Eye,Analytic,Brown,50.0,50.0,0,20,Ground,,255,147,1000000,Ordinary,,,60,85,69,60,69,77,420,0,2,0,0,0,0
620,506,506_0,Lillipup,Lillipup,5,0.4,4.1,Normal,,Vital Spirit,Pickup,Run Away,Brown,50.0,50.0,0,15,Ground,,255,55,1059860,Ordinary,,,45,60,45,25,45,55,275,0,1,0,0,0,0
621,507,507_0,Herdier,Herdier,5,0.9,14.7,Normal,,Intimidate,Sand Rush,Scrappy,Gray,50.0,50.0,0,15,Ground,,120,130,1059860,Ordinary,,,65,80,65,35,65,60,370,0,2,0,0,0,0
622,508,508_0,Stoutland,Stoutland,5,1.2,61.0,Normal,,Intimidate,Sand Rush,Scrappy,Gray,50.0,50.0,0,15,Ground,,45,250,1059860,Ordinary,,,85,110,90,45,90,80,500,0,3,0,0,0,0
623,509,509_0,Purrloin,Purrloin,5,0.4,10.1,Dark,,Limber,Unburden,Prankster,Purple,50.0,50.0,0,20,Ground,,255,56,1000000,Ordinary,,,41,50,37,50,37,66,281,0,0,0,0,0,1
624,510,510_0,Liepard,Liepard,5,1.1,37.5,Dark,,Limber,Unburden,Prankster,Purple,50.0,50.0,0,20,Ground,,90,156,1000000,Ordinary,,,64,88,50,88,50,106,446,0,0,0,0,0,2
625,511,511_0,Pansage,Pansage,5,0.6,10.5,Grass,,Gluttony,,Overgrow,Green,87.5,12.5,0,20,Ground,,190,63,1000000,Ordinary,,,50,53,48,53,48,64,316,0,0,0,0,0,1
626,512,512_0,Simisage,Simisage,5,1.1,30.5,Grass,,Gluttony,,Overgrow,Green,87.5,12.5,0,20,Ground,,75,174,1000000,Ordinary,,,75,98,63,98,63,101,498,0,0,0,0,0,2
627,513,513_0,Pansear,Pansear,5,0.6,11.0,Fire,,Gluttony,,Blaze,Red,87.5,12.5,0,20,Ground,,190,63,1000000,Ordinary,,,50,53,48,53,48,64,316,0,0,0,0,0,1
628,514,514_0,Simisear,Simisear,5,1.0,28.0,Fire,,Gluttony,,Blaze,Red,87.5,12.5,0,20,Ground,,75,174,1000000,Ordinary,,,75,98,63,98,63,101,498,0,0,0,0,0,2
629,515,515_0,Panpour,Panpour,5,0.6,13.5,Water,,Gluttony,,Torrent,Blue,87.5,12.5,0,20,Ground,,190,63,1000000,Ordinary,,,50,53,48,53,48,64,316,0,0,0,0,0,1
630,516,516_0,Simipour,Simipour,5,1.0,29.0,Water,,Gluttony,,Torrent,Blue,87.5,12.5,0,20,Ground,,75,174,1000000,Ordinary,,,75,98,63,98,63,101,498,0,0,0,0,0,2
631,517,517_0,Munna,Munna,5,0.6,23.3,Psychic,,Forewarn,Synchronize,Telepathy,Pink,50.0,50.0,0,10,Ground,,190,58,800000,Ordinary,,,76,25,45,67,55,24,292,1,0,0,0,0,0
632,518,518_0,Musharna,Musharna,5,1.1,60.5,Psychic,,Forewarn,Synchronize,Telepathy,Pink,50.0,50.0,0,10,Ground,,75,170,800000,Ordinary,,,116,55,85,107,95,29,487,2,0,0,0,0,0
633,519,519_0,Pidove,Pidove,5,0.3,2.1,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray,50.0,50.0,0,15,Flying,,255,53,1059860,Ordinary,,,50,55,50,36,30,43,264,0,1,0,0,0,0
634,520,520_0,Tranquill,Tranquill,5,0.6,15.0,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray,50.0,50.0,0,15,Flying,,120,125,1059860,Ordinary,,,62,77,62,50,42,65,358,0,2,0,0,0,0
635,521,521_0,Unfezant,Unfezant,5,1.2,29.0,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray,50.0,50.0,0,15,Flying,,45,244,1059860,Ordinary,,,80,115,80,65,55,93,488,0,3,0,0,0,0
636,522,522_0,Blitzle,Blitzle,5,0.8,29.8,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Black,50.0,50.0,0,20,Ground,,190,59,1000000,Ordinary,,,45,60,32,50,32,76,295,0,0,0,0,0,1
637,523,523_0,Zebstrika,Zebstrika,5,1.6,79.5,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Black,50.0,50.0,0,20,Ground,,75,174,1000000,Ordinary,,,75,100,63,80,63,116,497,0,0,0,0,0,2
638,524,524_0,Roggenrola,Roggenrola,5,0.4,18.0,Rock,,Sturdy,Weak Armor,Sand Force,Blue,50.0,50.0,0,15,Mineral,,255,56,1059860,Ordinary,,,55,75,85,25,25,15,280,0,0,1,0,0,0
639,525,525_0,Boldore,Boldore,5,0.9,102.0,Rock,,Sturdy,Weak Armor,Sand Force,Blue,50.0,50.0,0,15,Mineral,,120,137,1059860,Ordinary,,,70,105,105,50,40,20,390,0,1,1,0,0,0
640,526,526_0,Gigalith,Gigalith,5,1.7,260.0,Rock,,Sturdy,Sand Stream,Sand Force,Blue,50.0,50.0,0,15,Mineral,,45,258,1059860,Ordinary,,,85,135,130,60,80,25,515,0,3,0,0,0,0
641,527,527_0,Woobat,Woobat,5,0.4,2.1,Psychic,Flying,Unaware,Klutz,Simple,Blue,50.0,50.0,0,15,Ground,Flying,190,65,1000000,Ordinary,,,65,45,43,55,43,72,323,0,0,0,0,0,1
642,528,528_0,Swoobat,Swoobat,5,0.9,10.5,Psychic,Flying,Unaware,Klutz,Simple,Blue,50.0,50.0,0,15,Ground,Flying,45,149,1000000,Ordinary,,,67,57,55,77,55,114,425,0,0,0,0,0,2
643,529,529_0,Drilbur,Drilbur,5,0.3,8.5,Ground,,Sand Rush,Sand Force,Mold Breaker,Gray,50.0,50.0,0,20,Ground,,120,66,1000000,Ordinary,,,60,85,40,30,45,68,328,0,1,0,0,0,0
644,530,530_0,Excadrill,Excadrill,5,0.7,40.4,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,Gray,50.0,50.0,0,20,Ground,,60,178,1000000,Ordinary,,,110,135,60,50,65,88,508,0,2,0,0,0,0
645,531,531_0,Audino,Audino,5,1.1,31.0,Normal,,Healer,Regenerator,Klutz,Pink,50.0,50.0,0,20,Fairy,,255,390,800000,Ordinary,,,103,60,86,60,86,50,445,2,0,0,0,0,0
646,531,531_1,Audino,Mega Audino,5,1.5,32.0,Normal,Fairy,Healer,,,White,50.0,50.0,0,20,Fairy,,255,425,800000,Ordinary,Mega,,103,60,126,80,126,50,545,2,0,0,0,0,0
647,532,532_0,Timburr,Timburr,5,0.6,12.5,Fighting,,Guts,Sheer Force,Iron Fist,Gray,75.0,25.0,0,20,Human-Like,,180,61,1059860,Ordinary,,,75,80,55,25,35,35,305,0,1,0,0,0,0
648,533,533_0,Gurdurr,Gurdurr,5,1.2,40.0,Fighting,,Guts,Sheer Force,Iron Fist,Gray,75.0,25.0,0,20,Human-Like,,90,142,1059860,Ordinary,,,85,105,85,40,50,40,405,0,2,0,0,0,0
649,534,534_0,Conkeldurr,Conkeldurr,5,1.4,87.0,Fighting,,Guts,Sheer Force,Iron Fist,Brown,75.0,25.0,0,20,Human-Like,,45,253,1059860,Ordinary,,,105,140,95,55,65,45,505,0,3,0,0,0,0
650,535,535_0,Tympole,Tympole,5,0.5,4.5,Water,,Swift Swim,Hydration,Water Absorb,Blue,50.0,50.0,0,20,Water1,,255,59,1059860,Ordinary,,,50,50,40,50,40,64,294,0,0,0,0,0,1
651,536,536_0,Palpitoad,Palpitoad,5,0.8,17.0,Water,Ground,Swift Swim,Hydration,Water Absorb,Blue,50.0,50.0,0,20,Water1,,120,134,1059860,Ordinary,,,75,65,55,65,55,69,384,2,0,0,0,0,0
652,537,537_0,Seismitoad,Seismitoad,5,1.5,62.0,Water,Ground,Swift Swim,Poison Touch,Water Absorb,Blue,50.0,50.0,0,20,Water1,,45,255,1059860,Ordinary,,,105,95,75,85,75,74,509,3,0,0,0,0,0
653,538,538_0,Throh,Throh,5,1.3,55.5,Fighting,,Guts,Inner Focus,Mold Breaker,Red,100.0,0.0,0,20,Human-Like,,45,163,1000000,Ordinary,,,120,100,85,30,85,45,465,2,0,0,0,0,0
654,539,539_0,Sawk,Sawk,5,1.4,51.0,Fighting,,Sturdy,Inner Focus,Mold Breaker,Blue,100.0,0.0,0,20,Human-Like,,45,163,1000000,Ordinary,,,75,125,75,30,75,85,465,0,2,0,0,0,0
655,540,540_0,Sewaddle,Sewaddle,5,0.3,2.5,Bug,Grass,Swarm,Chlorophyll,Overcoat,Yellow,50.0,50.0,0,15,Bug,,255,62,1059860,Ordinary,,,45,53,70,40,60,42,310,0,0,1,0,0,0
656,541,541_0,Swadloon,Swadloon,5,0.5,7.3,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Green,50.0,50.0,0,15,Bug,,120,133,1059860,Ordinary,,,55,63,90,50,80,42,380,0,0,2,0,0,0
657,542,542_0,Leavanny,Leavanny,5,1.2,20.5,Bug,Grass,Swarm,Chlorophyll,Overcoat,Yellow,50.0,50.0,0,15,Bug,,45,225,1059860,Ordinary,,,75,103,80,70,80,92,500,0,3,0,0,0,0
658,543,543_0,Venipede,Venipede,5,0.4,5.3,Bug,Poison,Poison Point,Swarm,Speed Boost,Red,50.0,50.0,0,15,Bug,,255,52,1059860,Ordinary,,,30,45,59,30,39,57,260,0,0,1,0,0,0
659,544,544_0,Whirlipede,Whirlipede,5,1.2,58.5,Bug,Poison,Poison Point,Swarm,Speed Boost,Gray,50.0,50.0,0,15,Bug,,120,126,1059860,Ordinary,,,40,55,99,40,79,47,360,0,0,2,0,0,0
660,545,545_0,Scolipede,Scolipede,5,2.5,200.5,Bug,Poison,Poison Point,Swarm,Speed Boost,Red,50.0,50.0,0,20,Bug,,45,243,1059860,Ordinary,,,60,100,89,55,69,112,485,0,0,0,0,0,3
661,546,546_0,Cottonee,Cottonee,5,0.3,0.6,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Green,50.0,50.0,0,20,Grass,Fairy,190,56,1000000,Ordinary,,,40,27,60,37,50,66,280,0,0,0,0,0,1
662,547,547_0,Whimsicott,Whimsicott,5,0.7,6.6,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Green,50.0,50.0,0,20,Grass,Fairy,75,168,1000000,Ordinary,,,60,67,85,77,75,116,480,0,0,0,0,0,2
663,548,548_0,Petilil,Petilil,5,0.5,6.6,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Green,0.0,100.0,0,20,Grass,,190,56,1000000,Ordinary,,,45,35,50,70,50,30,280,0,0,0,1,0,0
664,549,549_0,Lilligant,Lilligant,5,1.1,16.3,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Green,0.0,100.0,0,20,Grass,,75,168,1000000,Ordinary,,,70,60,75,110,75,90,480,0,0,0,2,0,0
665,549,549_1,Lilligant,Hisuian Lilligant,8,1.2,19.2,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,Green,0.0,100.0,0,20,Grass,,75,168,1000000,Ordinary,,Hisuian,70,105,75,50,75,105,480,0,1,0,0,0,1
666,550,550_0,Basculin,Basculin Red Stripe,5,1.0,18.0,Water,,Reckless,Adaptability,Mold Breaker,Green,50.0,50.0,0,40,Water2,,25,161,1000000,Ordinary,,,70,92,65,80,55,98,460,0,0,0,0,0,2
667,550,550_1,Basculin,Basculin Blue Stripe,5,1.0,18.0,Water,,Rock Head,Adaptability,Mold Breaker,Green,50.0,50.0,0,40,Water2,,25,161,1000000,Ordinary,,,70,92,65,80,55,98,460,0,0,0,0,0,2
668,550,550_2,Basculin,Hisuian Basculin,8,1.0,18.0,Water,,Rattled,Adaptability,Mold Breaker,Green,50.0,50.0,0,40,Water2,,25,161,1000000,Ordinary,,Hisuian,70,92,65,80,55,98,460,0,0,0,0,0,2
669,551,551_0,Sandile,Sandile,5,0.7,15.2,Ground,Dark,Intimidate,Moxie,Anger Point,Brown,50.0,50.0,0,20,Ground,,180,58,1059860,Ordinary,,,50,72,35,35,35,65,292,0,1,0,0,0,0
670,552,552_0,Krokorok,Krokorok,5,1.0,33.4,Ground,Dark,Intimidate,Moxie,Anger Point,Brown,50.0,50.0,0,20,Ground,,90,123,1059860,Ordinary,,,60,82,45,45,45,74,351,0,2,0,0,0,0
671,553,553_0,Krookodile,Krookodile,5,1.5,96.3,Ground,Dark,Intimidate,Moxie,Anger Point,Red,50.0,50.0,0,20,Ground,,45,260,1059860,Ordinary,,,95,117,80,65,70,92,519,0,3,0,0,0,0
672,554,554_0,Darumaka,Darumaka,5,0.6,37.5,Fire,,Hustle,,Inner Focus,Red,50.0,50.0,0,20,Ground,,120,63,1059860,Ordinary,,,70,90,45,15,45,50,315,0,1,0,0,0,0
673,554,554_1,Darumaka,Galarian Darumaka,8,0.7,40.0,Ice,,Hustle,,Inner Focus,White,50.0,50.0,0,20,Ground,,120,63,1059860,Ordinary,,Galarian,70,90,45,15,45,50,315,0,1,0,0,0,0
674,555,555_0,Darmanitan,Darmanitan,5,1.3,92.9,Fire,,Sheer Force,,Zen Mode,Red,50.0,50.0,0,20,Ground,,60,168,1059860,Ordinary,,,105,140,55,30,55,95,480,0,2,0,0,0,0
675,555,555_1,Darmanitan,Darmanitan Zen-Mode,5,1.3,92.9,Fire,Psychic,Sheer Force,,Zen Mode,Blue,50.0,50.0,0,20,Ground,,60,189,1059860,Ordinary,,,105,30,105,140,105,55,540,0,0,0,2,0,0
676,555,555_2,Darmanitan,Galarian Darmanitan,8,1.7,120.0,Ice,,Gorilla Tactics,,Zen Mode,White,50.0,50.0,0,20,Ground,,60,168,1059860,Ordinary,,Galarian,105,140,55,30,55,95,480,0,2,0,0,0,0
677,555,555_3,Darmanitan,Galarian Darmanitan Zen-Mode,8,1.7,120.0,Ice,Fire,Gorilla Tactics,,Zen Mode,White,50.0,50.0,0,20,Ground,,60,189,1059860,Ordinary,,Galarian,105,160,55,30,55,135,540,0,0,0,2,0,0
678,556,556_0,Maractus,Maractus,5,1.0,28.0,Grass,,Water Absorb,Chlorophyll,Storm Drain,Green,50.0,50.0,0,20,Grass,,255,161,1000000,Ordinary,,,75,86,67,106,67,60,461,0,0,0,2,0,0
679,557,557_0,Dwebble,Dwebble,5,0.3,14.5,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Red,50.0,50.0,0,20,Bug,Mineral,190,65,1000000,Ordinary,,,50,65,85,35,35,55,325,0,0,1,0,0,0
680,558,558_0,Crustle,Crustle,5,1.4,200.0,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Red,50.0,50.0,0,20,Bug,Mineral,75,170,1000000,Ordinary,,,70,105,125,65,75,45,485,0,0,2,0,0,0
681,559,559_0,Scraggy,Scraggy,5,0.6,11.8,Dark,Fighting,Shed Skin,Moxie,Intimidate,Yellow,50.0,50.0,0,15,Ground,Dragon,180,70,1000000,Ordinary,,,50,75,70,35,70,48,348,0,1,0,0,0,0
682,560,560_0,Scrafty,Scrafty,5,1.1,30.0,Dark,Fighting,Shed Skin,Moxie,Intimidate,Red,50.0,50.0,0,15,Ground,Dragon,90,171,1000000,Ordinary,,,65,90,115,45,115,58,488,0,0,1,0,1,0
683,561,561_0,Sigilyph,Sigilyph,5,1.4,14.0,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,Black,50.0,50.0,0,20,Flying,,45,172,1000000,Ordinary,,,72,58,80,103,80,97,490,0,0,0,2,0,0
684,562,562_0,Yamask,Yamask,5,0.5,1.5,Ghost,,Mummy,,,Black,50.0,50.0,0,25,Mineral,Amorphous,190,61,1000000,Ordinary,,,38,30,85,55,65,30,303,0,0,1,0,0,0
685,562,562_1,Yamask,Galarian Yamask,8,0.5,1.5,Ground,Ghost,Wandering Spirit,,,Black,50.0,50.0,0,25,Mineral,Amorphous,190,61,1000000,Ordinary,,Galarian,38,55,85,30,65,30,303,0,0,1,0,0,0
686,563,563_0,Cofagrigus,Cofagrigus,5,1.7,76.5,Ghost,,Mummy,,,Yellow,50.0,50.0,0,25,Mineral,Amorphous,90,169,1000000,Ordinary,,,58,50,145,95,105,30,483,0,0,2,0,0,0
687,564,564_0,Tirtouga,Tirtouga,5,0.7,16.5,Water,Rock,Solid Rock,Sturdy,Swift Swim,Blue,87.5,12.5,0,30,Water1,Water3,45,71,1000000,Ordinary,,,54,78,103,53,45,22,355,0,0,1,0,0,0
688,565,565_0,Carracosta,Carracosta,5,1.2,81.0,Water,Rock,Solid Rock,Sturdy,Swift Swim,Blue,87.5,12.5,0,30,Water1,Water3,45,173,1000000,Ordinary,,,74,108,133,83,65,32,495,0,0,2,0,0,0
689,566,566_0,Archen,Archen,5,0.5,9.5,Rock,Flying,Defeatist,,,Yellow,87.5,12.5,0,30,Flying,Water3,45,71,1000000,Ordinary,,,55,112,45,74,45,70,401,0,1,0,0,0,0
690,567,567_0,Archeops,Archeops,5,1.4,32.0,Rock,Flying,Defeatist,,,Yellow,87.5,12.5,0,30,Flying,Water3,45,177,1000000,Ordinary,,,75,140,65,112,65,110,567,0,2,0,0,0,0
691,568,568_0,Trubbish,Trubbish,5,0.6,31.0,Poison,,Stench,Sticky Hold,Aftermath,Green,50.0,50.0,0,20,Mineral,,190,66,1000000,Ordinary,,,50,50,62,40,62,65,329,0,0,0,0,0,1
692,569,569_0,Garbodor,Garbodor,5,1.9,107.3,Poison,,Stench,Weak Armor,Aftermath,Green,50.0,50.0,0,20,Mineral,,60,166,1000000,Ordinary,,,80,95,82,60,82,75,474,0,2,0,0,0,0
693,570,570_0,Zorua,Zorua,5,0.7,12.5,Dark,,Illusion,,,Gray,87.5,12.5,0,25,Ground,,75,66,1059860,Ordinary,,,40,65,40,80,40,65,330,0,0,0,1,0,0
694,570,570_1,Zorua,Hisuian Zorua,8,0.7,12.5,Normal,Ghost,Illusion,,,Gray,87.5,12.5,0,25,Ground,,75,66,1059860,Ordinary,,Hisuian,35,60,40,85,40,70,330,0,0,0,1,0,0
695,571,571_0,Zoroark,Zoroark,5,1.6,81.1,Dark,,Illusion,,,Gray,87.5,12.5,0,20,Ground,,45,179,1059860,Ordinary,,,60,105,60,120,60,105,510,0,0,0,2,0,0
696,571,571_1,Zoroark,Hisuian Zoroark,8,1.6,73.0,Normal,Ghost,Illusion,,,Gray,87.5,12.5,0,20,Ground,,45,179,1059860,Ordinary,,Hisuian,60,105,60,120,60,105,510,0,0,0,2,0,0
697,572,572_0,Minccino,Minccino,5,0.4,5.8,Normal,,Cute Charm,Technician,Skill Link,Gray,25.0,75.0,0,15,Ground,,255,60,800000,Ordinary,,,55,50,40,40,40,75,300,0,0,0,0,0,1
698,573,573_0,Cinccino,Cinccino,5,0.5,7.5,Normal,,Cute Charm,Technician,Skill Link,Gray,25.0,75.0,0,15,Ground,,60,165,800000,Ordinary,,,75,95,60,65,60,115,470,0,0,0,0,0,2
